ticker,name,who,target,entry,signal,horizon_weeks,n,rho,t_nw,top_minus_bottom_pct,top_n,bottom_n,rho_2006_2015,rho_2016_2026,consistent
UUP,Dollar index,Hedge funds,price,monday_after,turn,13,941,-0.027,-0.523,-0.368,44,43,-0.024,-0.021,
UUP,Dollar index,Hedge funds,price,friday_release,chg1,1,1021,0.012,0.382,-0.042,199,173,0.020,0.003,
UUP,Dollar index,Hedge funds,price,friday_release,chg4,1,1021,-0.025,-0.827,-0.057,199,182,-0.013,-0.035,
UUP,Dollar index,Hedge funds,price,friday_release,crowd,1,953,0.020,0.617,-0.108,128,195,0.098,-0.047,
UUP,Dollar index,Hedge funds,price,friday_release,turn,1,953,-0.032,-0.966,-0.349,44,43,-0.106,0.049,
UUP,Dollar index,Hedge funds,price,friday_release,chg1,4,1018,-0.017,-0.529,-0.189,199,173,0.035,-0.071,
UUP,Dollar index,Hedge funds,price,friday_release,chg4,4,1018,-0.014,-0.305,0.140,198,182,0.077,-0.092,
UUP,Dollar index,Hedge funds,price,friday_release,crowd,4,950,0.035,0.656,-0.084,126,195,0.172,-0.083,
UUP,Dollar index,Hedge funds,price,friday_release,turn,4,950,-0.032,-0.743,-0.658,44,43,-0.075,0.019,
UUP,Dollar index,Hedge funds,price,friday_release,chg1,8,1014,0.004,0.112,-0.105,198,173,0.101,-0.087,
UUP,Dollar index,Hedge funds,price,friday_release,chg4,8,1014,0.008,0.159,0.368,195,182,0.141,-0.099,
UUP,Dollar index,Hedge funds,price,friday_release,crowd,8,946,0.052,0.752,0.154,124,195,0.188,-0.069,
UUP,Dollar index,Hedge funds,price,friday_release,turn,8,946,-0.047,-0.916,-0.604,44,43,-0.058,-0.013,
UUP,Dollar index,Hedge funds,price,friday_release,chg1,13,1009,0.020,0.637,0.059,197,172,0.115,-0.076,
UUP,Dollar index,Hedge funds,price,friday_release,chg4,13,1009,0.075,1.378,0.847,194,182,0.205,-0.054,
UUP,Dollar index,Hedge funds,price,friday_release,crowd,13,941,0.061,0.758,0.379,124,195,0.138,-0.001,
UUP,Dollar index,Hedge funds,price,friday_release,turn,13,941,-0.020,-0.383,-0.275,44,43,-0.011,-0.021,
GLD,Gold,Hedge funds,price,monday_after,chg1,1,1056,-0.025,-0.856,-0.047,191,205,-0.013,-0.035,
GLD,Gold,Hedge funds,price,monday_after,chg4,1,1053,-0.030,-0.987,-0.507,176,191,-0.030,-0.031,
GLD,Gold,Hedge funds,price,monday_after,crowd,1,953,0.014,0.411,0.039,159,192,0.015,-0.003,
GLD,Gold,Hedge funds,price,monday_after,turn,1,953,0.003,0.081,-0.063,66,69,-0.009,0.019,
GLD,Gold,Hedge funds,price,monday_after,chg1,4,1053,-0.038,-1.163,-0.392,191,205,-0.040,-0.032,
GLD,Gold,Hedge funds,price,monday_after,chg4,4,1050,0.004,0.081,-0.068,176,191,-0.059,0.063,
GLD,Gold,Hedge funds,price,monday_after,crowd,4,950,0.048,0.905,0.778,159,192,0.056,0.014,
GLD,Gold,Hedge funds,price,monday_after,turn,4,950,0.065,1.375,1.111,66,69,0.045,0.090,
GLD,Gold,Hedge funds,price,monday_after,chg1,8,1049,0.012,0.366,0.589,190,205,0.003,0.018,
GLD,Gold,Hedge funds,price,monday_after,chg4,8,1046,0.019,0.400,0.149,176,191,-0.028,0.064,
GLD,Gold,Hedge funds,price,monday_after,crowd,8,946,0.100,1.392,1.126,159,192,0.102,0.052,
GLD,Gold,Hedge funds,price,monday_after,turn,8,946,0.017,0.302,0.123,66,69,-0.027,0.072,
GLD,Gold,Hedge funds,price,monday_after,chg1,13,1044,-0.019,-0.539,-0.262,190,205,-0.015,-0.030,
GLD,Gold,Hedge funds,price,monday_after,chg4,13,1041,-0.022,-0.441,-1.048,176,191,-0.069,0.015,
GLD,Gold,Hedge funds,price,monday_after,crowd,13,941,0.143,1.653,2.571,159,192,0.159,0.084,
GLD,Gold,Hedge funds,price,monday_after,turn,13,941,-0.030,-0.442,-1.684,66,69,-0.081,0.023,
GLD,Gold,Hedge funds,price,friday_release,chg1,1,1056,-0.050,-1.709,-0.214,191,205,-0.031,-0.067,
GLD,Gold,Hedge funds,price,friday_release,chg4,1,1053,-0.047,-1.519,-0.589,176,191,-0.038,-0.056,
GLD,Gold,Hedge funds,price,friday_release,crowd,1,953,0.012,0.378,-0.042,159,192,0.018,-0.006,
GLD,Gold,Hedge funds,price,friday_release,turn,1,953,-0.024,-0.750,-0.335,66,69,-0.023,-0.019,
GLD,Gold,Hedge funds,price,friday_release,chg1,4,1053,-0.049,-1.545,-0.414,191,205,-0.052,-0.044,
GLD,Gold,Hedge funds,price,friday_release,chg4,4,1050,-0.021,-0.481,-0.467,176,191,-0.079,0.035,
GLD,Gold,Hedge funds,price,friday_release,crowd,4,950,0.049,0.908,0.683,159,192,0.052,0.020,
GLD,Gold,Hedge funds,price,friday_release,turn,4,950,0.039,0.777,0.528,66,69,-0.002,0.080,
GLD,Gold,Hedge funds,price,friday_release,chg1,8,1049,0.008,0.240,0.572,190,205,-0.008,0.019,
GLD,Gold,Hedge funds,price,friday_release,chg4,8,1046,0.018,0.365,-0.039,176,191,-0.032,0.062,
GLD,Gold,Hedge funds,price,friday_release,crowd,8,946,0.096,1.318,0.985,159,192,0.095,0.048,
GLD,Gold,Hedge funds,price,friday_release,turn,8,946,0.018,0.298,-0.021,66,69,-0.029,0.072,
GLD,Gold,Hedge funds,price,friday_release,chg1,13,1044,-0.025,-0.723,-0.173,190,205,-0.021,-0.036,
GLD,Gold,Hedge funds,price,friday_release,chg4,13,1041,-0.027,-0.545,-1.241,176,191,-0.068,0.002,
GLD,Gold,Hedge funds,price,friday_release,crowd,13,941,0.137,1.580,2.439,159,192,0.151,0.080,
GLD,Gold,Hedge funds,price,friday_release,turn,13,941,-0.032,-0.475,-1.820,66,69,-0.087,0.022,
USO,Crude oil,Hedge funds,price,monday_after,chg1,1,1056,-0.007,-0.213,-0.145,192,198,-0.009,-0.001,
USO,Crude oil,Hedge funds,price,monday_after,chg4,1,1053,0.012,0.377,0.180,185,205,0.016,0.009,
