period,period_type,source,item,value_jpy_m,value_jpy_m_year_ago,yoy_pct,yoy_pct_published
2026-07,MONTH,press_release,I:FISH AND FISH PREPARATION,166704,,,4.40
2026-07,MONTH,press_release,I:FRUITS,79353,,,1.20
2026-07,MONTH,press_release,I:FURNITURE,90747,,,14.70
2026-07,MONTH,press_release,I:Grand Total,12147718,,,27.90
2026-07,MONTH,press_release,I:INSULATED WIRE AND CABLE,145353,,,32.20
2026-07,MONTH,press_release,I:IRON AND STEEL PRODUCTS,122024,,,7.90
2026-07,MONTH,press_release,I:IRON ORE AND CONCENTRATES,144589,,,16.50
2026-07,MONTH,press_release,I:LNG,548118,,,22.50
2026-07,MONTH,press_release,I:LPG,86487,,,37.60
2026-07,MONTH,press_release,I:MANUFACTURES OF METALS,171965,,,21.30
2026-07,MONTH,press_release,I:MEAT AND MEAT PREPARATION,227657,,,26.60
2026-07,MONTH,press_release,I:MEDICAL PRODUCTS,493518,,,5.60
2026-07,MONTH,press_release,I:MOTOR VEHICLES,198858,,,22.70
2026-07,MONTH,press_release,I:NON-METALLIC MINERAL WARE,75175,,,16.70
2026-07,MONTH,press_release,I:NONFERROUS METALS,384981,,,67.60
2026-07,MONTH,press_release,I:ORE OF NONFERROUS,320735,,,59.20
2026-07,MONTH,press_release,I:ORGANIC CHEMICALS,242780,,,24.70
2026-07,MONTH,press_release,I:PARTS OF COMPUTER,67164,,,38.60
2026-07,MONTH,press_release,I:PARTS OF MOTOR VEHICLES,130855,,,20.30
2026-07,MONTH,press_release,I:PETROLEUM,1408930,,,87.80
2026-07,MONTH,press_release,I:PETROLEUM PRODUCTS,237435,,,27.20
2026-07,MONTH,press_release,I:POWER GENERATING MACHINE,229238,,,26.60
2026-07,MONTH,press_release,"I:SCIENTIFIC, OPTICAL INST",244216,,,10.50
2026-07,MONTH,press_release,I:SEMICONDUCTORS ETC,547093,,,79.70
2026-07,MONTH,press_release,I:SOY BEANS,27869,,,34.70
2026-07,MONTH,press_release,"I:TELEPHONY, TELEGRAPHY",461870,,,48.20
2026-07,MONTH,press_release,"I:TEXTILE YARN, FABRICS",117654,,,20.10
2026-07,MONTH,press_release,I:VEGETABLES,76747,,,4.80
2026-07,MONTH,press_release,I:WOOD,23600,,,-16.60
2026-07,MONTH,press_release,I:WOOD & CORK MANUFACTURED,83710,,,12.30
2026-08,D10,press_release,BAL:Grand Total,217306,,,-50
2026-08,D10,press_release,E:Grand Total,3678584,,,15.50
2026-08,D10,press_release,I:Grand Total,3461278,,,25.80
1979-01,MONTH,timeseries:world_total,E:Exp-Total,1192541,,,
1979-01,MONTH,timeseries:world_total,I:Imp-Total,1476341,,,
1979-02,MONTH,timeseries:world_total,E:Exp-Total,1547064,,,
1979-02,MONTH,timeseries:world_total,I:Imp-Total,1474769,,,
1979-03,MONTH,timeseries:world_total,E:Exp-Total,1924706,,,
1979-03,MONTH,timeseries:world_total,I:Imp-Total,1729013,,,
1979-04,MONTH,timeseries:world_total,E:Exp-Total,1674211,,,
1979-04,MONTH,timeseries:world_total,I:Imp-Total,1754000,,,
1979-05,MONTH,timeseries:world_total,E:Exp-Total,1795128,,,
1979-05,MONTH,timeseries:world_total,I:Imp-Total,1971518,,,
1979-06,MONTH,timeseries:world_total,E:Exp-Total,1906294,,,
1979-06,MONTH,timeseries:world_total,I:Imp-Total,1853721,,,
1979-07,MONTH,timeseries:world_total,E:Exp-Total,1935032,,,
1979-07,MONTH,timeseries:world_total,I:Imp-Total,1986026,,,
1979-08,MONTH,timeseries:world_total,E:Exp-Total,1796769,,,
1979-08,MONTH,timeseries:world_total,I:Imp-Total,2158098,,,
1979-09,MONTH,timeseries:world_total,E:Exp-Total,2054736,,,
1979-09,MONTH,timeseries:world_total,I:Imp-Total,2219514,,,
1979-10,MONTH,timeseries:world_total,E:Exp-Total,2005657,,,
1979-10,MONTH,timeseries:world_total,I:Imp-Total,2321751,,,
1979-11,MONTH,timeseries:world_total,E:Exp-Total,2049252,,,
1979-11,MONTH,timeseries:world_total,I:Imp-Total,2575911,,,
1979-12,MONTH,timeseries:world_total,E:Exp-Total,2650148,,,
1979-12,MONTH,timeseries:world_total,I:Imp-Total,2724686,,,
1980-01,MONTH,timeseries:world_total,E:Exp-Total,1656297,1192541,38.89,
1980-01,MONTH,timeseries:world_total,I:Imp-Total,2481133,1476341,68.06,
1980-02,MONTH,timeseries:world_total,E:Exp-Total,2303865,1547064,48.92,
1980-02,MONTH,timeseries:world_total,I:Imp-Total,2640281,1474769,79.03,
1980-03,MONTH,timeseries:world_total,E:Exp-Total,2654692,1924706,37.93,
1980-03,MONTH,timeseries:world_total,I:Imp-Total,2923286,1729013,69.07,
1980-04,MONTH,timeseries:world_total,E:Exp-Total,2534740,1674211,51.40,
1980-04,MONTH,timeseries:world_total,I:Imp-Total,3043068,1754000,73.49,
1980-05,MONTH,timeseries:world_total,E:Exp-Total,2493538,1795128,38.91,
1980-05,MONTH,timeseries:world_total,I:Imp-Total,2947129,1971518,49.49,
1980-06,MONTH,timeseries:world_total,E:Exp-Total,2434691,1906294,27.72,
1980-06,MONTH,timeseries:world_total,I:Imp-Total,2664608,1853721,43.74,
1980-07,MONTH,timeseries:world_total,E:Exp-Total,2494999,1935032,28.94,
1980-07,MONTH,timeseries:world_total,I:Imp-Total,2708450,1986026,36.38,
1980-08,MONTH,timeseries:world_total,E:Exp-Total,2336083,1796769,30.02,
1980-08,MONTH,timeseries:world_total,I:Imp-Total,2518178,2158098,16.69,
1980-09,MONTH,timeseries:world_total,E:Exp-Total,2552831,2054736,24.24,
1980-09,MONTH,timeseries:world_total,I:Imp-Total,2361418,2219514,6.39,
1980-10,MONTH,timeseries:world_total,E:Exp-Total,2500763,2005657,24.69,
1980-10,MONTH,timeseries:world_total,I:Imp-Total,2566352,2321751,10.54,
1980-11,MONTH,timeseries:world_total,E:Exp-Total,2348824,2049252,14.62,
1980-11,MONTH,timeseries:world_total,I:Imp-Total,2398691,2575911,-6.88,
1980-12,MONTH,timeseries:world_total,E:Exp-Total,3071148,2650148,15.89,
1980-12,MONTH,timeseries:world_total,I:Imp-Total,2742730,2724686,0.66,
1981-01,MONTH,timeseries:world_total,E:Exp-Total,1924830,1656297,16.21,
1981-01,MONTH,timeseries:world_total,I:Imp-Total,2436758,2481133,-1.79,
1981-02,MONTH,timeseries:world_total,E:Exp-Total,2463851,2303865,6.94,
1981-02,MONTH,timeseries:world_total,I:Imp-Total,2402823,2640281,-8.99,
1981-03,MONTH,timeseries:world_total,E:Exp-Total,2902529,2654692,9.34,
1981-03,MONTH,timeseries:world_total,I:Imp-Total,2686902,2923286,-8.09,
1981-04,MONTH,timeseries:world_total,E:Exp-Total,2724556,2534740,7.49,
1981-04,MONTH,timeseries:world_total,I:Imp-Total,2630291,3043068,-13.56,
1981-05,MONTH,timeseries:world_total,E:Exp-Total,2748372,2493538,10.22,
1981-05,MONTH,timeseries:world_total,I:Imp-Total,2747244,2947129,-6.78,
1981-06,MONTH,timeseries:world_total,E:Exp-Total,2856839,2434691,17.34,
1981-06,MONTH,timeseries:world_total,I:Imp-Total,2528896,2664608,-5.09,
1981-07,MONTH,timeseries:world_total,E:Exp-Total,3083290,2494999,23.58,
1981-07,MONTH,timeseries:world_total,I:Imp-Total,2740427,2708450,1.18,
1981-08,MONTH,timeseries:world_total,E:Exp-Total,2784280,2336083,19.19,
1981-08,MONTH,timeseries:world_total,I:Imp-Total,2610328,2518178,3.66,
1981-09,MONTH,timeseries:world_total,E:Exp-Total,3028395,2552831,18.63,
1981-09,MONTH,timeseries:world_total,I:Imp-Total,2496569,2361418,5.72,
