Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
1,2026,'560811900',  ,KG,0,663794,1063254,0,44547,72106,0,103386,165804,0,174298,253564,0,65602,105381,0,72144,126037,0,130828,239586,0,72989,100776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560819000',  ,KG,0,8066917,2790701,0,1224087,374509,0,1163432,399864,0,1262677,446170,0,1181845,395447,0,855832,272194,0,1339600,488661,0,1039444,413856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560890000',  ,KG,0,209,3002,0,0,0,0,0,0,0,150,519,0,0,0,0,0,615,0,0,0,0,59,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560900000',  ,KG,0,152969,507481,0,16263,50674,0,16655,58850,0,38900,64326,0,21660,73827,0,16700,86072,0,12349,59448,0,30442,114284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'56XXXXXXA',  ,KG,0,149006,475801,0,10152,73523,0,19840,44390,0,7204,54080,0,40292,79532,0,9600,81827,0,36030,50757,0,25888,91692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'570110000',SM,KG,77,392,5822,37,181,1663,10,30,294,17,123,2615,6,7,430,0,0,0,7,51,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'570190000',SM,KG,3655,14962,8238,390,412,1004,0,0,0,70,270,805,1145,5435,2853,240,1129,643,1799,7688,2638,11,28,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'570210000',SM,KG,2,13,215,2,13,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'570231000',SM,KG,72,287,1260,0,0,0,0,0,0,53,200,1008,19,87,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'570232000',SM,KG,882,4851,3348,0,0,0,0,0,0,0,0,0,792,4299,2574,0,0,0,0,0,0,90,552,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'570241000',SM,KG,178,263,251,178,263,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'570242000',SM,KG,24778,105915,258409,2270,9084,16911,2760,11006,23306,4607,18478,37081,3959,16241,40767,2678,10655,32205,4447,19327,64197,4057,21124,43942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'570249000',SM,KG,149,181,1516,0,0,0,24,33,245,0,0,0,0,0,0,41,52,507,67,70,285,17,26,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'570250000',SM,KG,2283,789,2149,0,0,0,0,0,0,2,2,439,0,0,0,1728,194,453,105,115,316,448,478,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'570292000',SM,KG,2624,7308,20210,0,0,0,40,336,562,48,60,278,177,529,1205,116,46,538,2201,6224,17386,42,113,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'570299000',SM,KG,89,165,1879,0,0,0,18,60,1110,0,0,0,5,80,270,7,2,264,59,23,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'570310000',SM,KG,14728,27565,129425,1213,2634,19181,5051,8471,20787,1359,3044,16710,5655,9583,40083,909,2036,14331,306,971,7983,235,826,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'570329000',SM,KG,694024,2566662,1323308,78942,300342,150463,75187,258725,152596,87391,332325,164760,108357,425812,229326,111473,415068,202115,116139,362162,194384,116535,472228,229664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
