report_month,market,company_id,company_name,industry,rev_month_twd_k,rev_prev_month_twd_k,rev_year_ago_month_twd_k,mom_pct,yoy_pct,rev_cum_twd_k,rev_cum_prev_year_twd_k,cum_yoy_pct,note
2026-07,sii,4912,聯德控股-KY,電子零組件業,730490,647288,439118,12.85,66.35,4344101,3327793,30.54,7月份出貨較去年同期增加所致
2026-07,sii,4915,致伸,電子零組件業,5857293,6289319,5356966,-6.87,9.34,38987452,34716862,12.30,-
2026-07,sii,4916,事欣科,電腦及週邊設備業,520554,501534,227370,3.79,128.95,2954912,1865190,58.42,受惠於國防、航太及通訊客戶需求強勁，低軌道衛星產品持續拉貨，本月營收變動達50%以上。
2026-07,sii,4919,新唐,半導體業,2566187,2711218,2377791,-5.35,7.92,18495606,18557883,-0.34,-
2026-07,sii,4927,泰鼎-KY,電子零組件業,1187574,1028086,1007178,15.51,17.91,6887430,7030170,-2.03,7月份自結數
2026-07,sii,4930,燦星網,電器電纜,528560,443560,518071,19.16,2.02,3260074,3502100,-6.91,-
2026-07,sii,4934,太極,光電業,16682,18683,6322,-10.71,163.87,107939,41856,157.88,受惠於子公司營收挹注，本月及累計營收較去年同期成長。
2026-07,sii,4935,茂林-KY,光電業,372690,402601,475365,-7.43,-21.60,2456375,3306639,-25.71,-
2026-07,sii,4938,和碩,電腦及週邊設備業,86015154,91295615,77103455,-5.78,11.56,604568417,616872721,-1.99,-
2026-07,sii,4942,嘉彰,光電業,450623,457954,499289,-1.60,-9.75,3154565,3400281,-7.23,-
2026-07,sii,4943,康控-KY,電子零組件業,204374,190461,126064,7.30,62.12,1317877,895173,47.22,本月較去年同期成長62.12%，主要係因部分汽車零組件新案(電容盒/域控制器/空氣懸架等相關產品零組件)於2026年量產出貨所致
2026-07,sii,4949,有成精密,光電業,364461,333753,183479,9.20,98.64,2108472,1428287,47.62,主要係本期太陽能模組銷售量較去年同期增加所致。
2026-07,sii,4952,凌通,半導體業,250485,285811,170047,-12.36,47.30,1669834,1361249,22.67,-
2026-07,sii,4956,光鋐,光電業,120161,113578,119271,5.80,0.75,843703,779459,8.24,-
2026-07,sii,4958,臻鼎-KY,電子零組件業,17600546,17033197,13352388,3.33,31.82,106759389,91637736,16.50,-
2026-07,sii,4960,誠美材,光電業,642565,655074,736456,-1.91,-12.75,4513624,4967856,-9.14,-
2026-07,sii,4961,天鈺,半導體業,1967297,1859601,1480137,5.79,32.91,11854385,11217784,5.67,-
2026-07,sii,4967,十銓,半導體業,2544932,3018031,1280473,-15.68,98.75,19178142,11196567,71.29,因出貨量增加及銷售單價上漲所致。
2026-07,sii,4968,立積,半導體業,320015,317192,325315,0.89,-1.63,2227554,2149146,3.65,-
2026-07,sii,4976,佳凌,光電業,96973,95702,88567,1.33,9.49,625593,617393,1.33,-
2026-07,sii,4977,眾達-KY,通信網路業,181218,82280,76582,120.25,136.63,611792,620170,-1.35,因7/1納入品固集團營收
2026-07,sii,4989,榮科,電子零組件業,339461,370182,165256,-8.30,105.42,2389391,1414549,68.92,主係銷售量增加及銅價上漲
2026-07,sii,4994,傳奇,資訊服務業,89539,87467,125659,2.37,-28.74,692003,714272,-3.12,-
2026-07,sii,4999,鑫禾,電子零組件業,149039,134754,158027,10.60,-5.69,969167,1113920,-12.99,-
2026-07,sii,5007,三星,鋼鐵工業,537219,562514,546896,-4.50,-1.77,3670332,3697914,-0.75,-
2026-07,sii,5203,訊連,資訊服務業,174346,172887,208002,0.84,-16.18,1287810,1378484,-6.58,-
2026-07,sii,5215,科嘉-KY,電腦及週邊設備業,292334,213910,243449,36.66,20.08,1878418,1445145,29.98,-
2026-07,sii,5222,全訊,半導體業,65810,78057,80348,-15.69,-18.09,472070,559296,-15.60,-
2026-07,sii,5225,東科-KY,其他電子業,1121521,948274,1008803,18.27,11.17,6120825,6245296,-1.99,-
2026-07,sii,5234,達興材料,光電業,447398,453009,401216,-1.24,11.51,2930404,2658355,10.23,-
2026-07,sii,5236,凌陽創新,半導體業,180850,192161,183595,-5.89,-1.50,1348271,1174829,14.76,-
2026-07,sii,5243,乙盛-KY,光電業,1271880,1162478,858823,9.41,48.10,7635064,7279302,4.89,-
2026-07,sii,5244,弘凱,光電業,89866,73470,68286,22.32,31.60,466626,460358,1.36,-
2026-07,sii,5258,虹堡,電腦及週邊設備業,861104,895443,678675,-3.83,26.88,4832070,4153311,16.34,-
2026-07,sii,5269,祥碩,半導體業,783204,867194,1263048,-9.69,-37.99,7003758,7165077,-2.25,-
2026-07,sii,5283,禾聯碩,電器電纜,700359,713862,677172,-1.89,3.42,4033534,4045173,-0.29,-
2026-07,sii,5284,jpp-KY,其他,420741,397000,311028,5.98,35.27,2805706,1970112,42.41,-
2026-07,sii,5285,界霖,半導體業,604625,520254,475203,16.22,27.24,3586578,3160601,13.48,-
2026-07,sii,5288,豐祥-KY,電機機械,850522,857013,556594,-0.76,52.81,5322003,4023624,32.27,主係北美休閒車輛客戶新產品出貨所致
2026-07,sii,5292,華懋,綠能環保,278768,274497,271955,1.56,2.51,1554822,1657473,-6.19,本公司完工百分比法係以投入成本為完工進度基礎，各期依工程安排時間不同而產生差異
2026-07,sii,5306,桂盟,運動休閒,492714,500315,387764,-1.52,27.07,3239748,2921808,10.88,-
2026-07,sii,5388,中磊,通信網路業,7979722,7270836,5274004,9.75,51.30,45242277,28843323,56.86,北美市場訂單增溫
2026-07,sii,5434,崇越,電子通路業,8173773,7507318,5731436,8.88,42.61,47535876,38477747,23.54,-
2026-07,sii,5469,瀚宇博,電子零組件業,6589531,5846217,5310317,12.71,24.09,39128609,31442724,24.44,-
2026-07,sii,5471,松翰,半導體業,315750,315835,229243,-0.03,37.74,2023891,1557089,29.98,-
2026-07,sii,5484,慧友,光電業,51112,132595,36553,-61.45,39.83,498316,241216,106.58,係因有接到代工訂單
2026-07,sii,5515,建國,建材營造,697885,704033,533385,-0.87,30.84,4717285,3683716,28.06,-
2026-07,sii,5519,隆大,建材營造,111792,161886,1403646,-30.94,-92.04,1241089,2552635,-51.38,今年同期及累計較去年減少係去年同期自建案J52案完工認列房地收入較多所致。
2026-07,sii,5521,工信,建材營造,795349,862127,772489,-7.75,2.96,6216036,5568884,11.62,無
2026-07,sii,5522,遠雄,建材營造,3552998,1992217,1228382,78.34,189.24,12084055,2183990,453.30,本月及截至本月累計營收較去年同期增加，主要係交屋量較去年同期完工可交屋成屋量增加所致。
