yyyymm,imex,hs_code,stage,value_jpy_k,quantity1,unit1,quantity2,unit2,source_file,retrieved_at
2026-06,E,854130900,DETAILED,221454,0,,2787790,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854130900,DETAILED,290124,0,,2973948,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854141000,DETAILED,37514734,0,,1706857393,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854141000,DETAILED,32922297,0,,1691737589,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854141000,DETAILED,38098016,0,,1703895039,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854141000,DETAILED,44387713,0,,2138382014,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854141000,DETAILED,36243259,0,,1934215711,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854141000,DETAILED,42004203,0,,1854714473,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854141000,DETAILED,41154422,0,,2098471499,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854142000,DETAILED,1237483,0,,17435310,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854142000,DETAILED,1013789,0,,19029456,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854142000,DETAILED,2094838,0,,22767911,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854142000,DETAILED,1662597,0,,21776449,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854142000,DETAILED,1486356,0,,21282587,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854142000,DETAILED,1587315,0,,18034147,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854142000,DETAILED,2213405,0,,23908466,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854143000,DETAILED,103941,0,,836180,NO,estat_E_2026-07_000040494506.csv,2026-09-02
