Date,Open,High,Low,Close,Volume
2022-12-15,2.0746,2.0836,1.997,2.001,133225374
2022-12-16,2.009,2.045,1.996,2.043,157519131
2022-12-19,2.0476,2.0656,2.0304,2.0376,64619573
2022-12-20,2.0166,2.081,2.0054,2.0794,89690291
2022-12-21,2.0874,2.108,2.061,2.1034,82311072
2022-12-22,2.1074,2.118,2.0764,2.083,55116529
2022-12-23,2.09,2.102,2.082,2.09,51178062
2022-12-27,2.11,2.1116,2.078,2.084,35721057
2022-12-28,2.0736,2.093,2.0734,2.081,33743313
2022-12-29,2.078,2.109,2.067,2.1086,57456447
2022-12-30,2.0994,2.1016,2.0804,2.082,37103063
2023-01-02,2.1194,2.1386,2.09,2.12,74307015
2023-01-03,2.115,2.177,2.1124,2.1714,138837730
2023-01-04,2.18,2.2336,2.1754,2.2266,150488975
2023-01-05,2.2204,2.232,2.2044,2.207,81816175
2023-01-06,2.2256,2.239,2.2184,2.2336,100654278
2023-01-09,2.24,2.2476,2.2214,2.234,99441187
2023-01-10,2.2296,2.2486,2.219,2.246,95444168
2023-01-11,2.2626,2.266,2.235,2.256,111183580
2023-01-12,2.2656,2.2896,2.2614,2.284,112905075
2023-01-13,2.29,2.304,2.262,2.283,105754837
2023-01-16,2.299,2.31,2.273,2.2796,84121250
2023-01-17,2.292,2.2956,2.233,2.253,119673239
2023-01-18,2.266,2.28,2.241,2.2444,92856989
2023-01-19,2.2176,2.2476,2.2014,2.222,101092313
2023-01-20,2.2416,2.2536,2.1524,2.175,166910820
2023-01-23,2.179,2.2546,2.179,2.2396,134056860
2023-01-24,2.244,2.2906,2.234,2.2856,107754140
2023-01-25,2.2924,2.3026,2.2754,2.2986,116799053
2023-01-26,2.31,2.348,2.304,2.3454,143063490
2023-01-27,2.3486,2.3596,2.3314,2.354,106127982
2023-01-30,2.3454,2.361,2.324,2.341,114195799
2023-01-31,2.378,2.423,2.359,2.417,237058586
2023-02-01,2.41,2.4706,2.4074,2.4576,202772790
2023-02-02,2.4696,2.4786,2.405,2.458,176821288
2023-02-03,2.46,2.485,2.329,2.38,334083835
2023-02-06,2.37,2.4596,2.3664,2.44,179711910
2023-02-07,2.46,2.5,2.438,2.4664,195983114
2023-02-08,2.486,2.497,2.462,2.475,125411551
2023-02-09,2.4876,2.5216,2.481,2.504,158367769
2023-02-10,2.5,2.5046,2.4504,2.471,142624842
2023-02-13,2.4796,2.5096,2.4654,2.505,129159655
2023-02-14,2.508,2.522,2.497,2.5126,116353744
2023-02-15,2.5,2.5126,2.469,2.491,124830743
2023-02-16,2.5,2.557,2.5,2.552,186126870
2023-02-17,2.54,2.5816,2.5234,2.565,149439965
2023-02-20,2.5896,2.5896,2.5514,2.557,116101115
2023-02-21,2.546,2.5696,2.501,2.56,144921138
2023-02-22,2.5576,2.5576,2.4644,2.4864,178903801
2023-02-23,2.481,2.525,2.47,2.5196,106286670
2023-02-24,2.519,2.5356,2.4914,2.506,107868631
2023-02-27,2.503,2.56,2.498,2.5366,109769990
2023-02-28,2.52,2.5986,2.514,2.576,165436146
2023-03-01,2.584,2.584,2.528,2.536,139793538
2023-03-02,2.521,2.557,2.503,2.547,106925754
2023-03-03,2.557,2.5774,2.55,2.575,107515366
2023-03-06,2.58,2.603,2.573,2.593,103409869
2023-03-07,2.597,2.602,2.5634,2.5706,113725233
2023-03-08,2.554,2.592,2.554,2.576,106864652
2023-03-09,2.576,2.5786,2.52,2.54,124166603
2023-03-10,2.4824,2.4826,2.405,2.4766,205920224
2023-03-13,2.4716,2.478,2.2494,2.3386,361302432
2023-03-14,2.331,2.422,2.31,2.4014,237114243
2023-03-15,2.4054,2.424,2.2184,2.2276,332383793
2023-03-16,2.3196,2.3286,2.201,2.259,262066729
2023-03-17,2.269,2.304,2.1704,2.21,274252210
2023-03-20,2.117,2.3016,2.082,2.278,322381367
2023-03-21,2.33,2.372,2.3064,2.358,213414883
2023-03-22,2.35,2.3946,2.3314,2.3486,172156684
2023-03-23,2.342,2.365,2.3054,2.3226,143261913
2023-03-24,2.3016,2.3036,2.2024,2.2716,249561603
2023-03-27,2.305,2.318,2.263,2.2736,136185303
2023-03-28,2.302,2.31,2.2714,2.299,117585264
2023-03-29,2.3,2.3326,2.2894,2.3326,142307846
2023-03-30,2.344,2.382,2.3354,2.3654,98290413
2023-03-31,2.3746,2.38,2.34,2.3734,131883311
2023-04-03,2.39,2.397,2.363,2.366,105631355
2023-04-04,2.368,2.3746,2.3234,2.3286,110812382
2023-04-05,2.318,2.335,2.284,2.299,104044077
2023-04-06,2.3134,2.356,2.3064,2.3546,68383838
2023-04-11,2.37,2.383,2.364,2.3726,57052940
2023-04-12,2.38,2.4166,2.3774,2.3934,92425905
2023-04-13,2.395,2.4086,2.38,2.388,69843570
2023-04-14,2.407,2.4796,2.392,2.4716,137720575
2023-04-17,2.475,2.499,2.4354,2.4416,74167001
2023-04-18,2.463,2.4986,2.452,2.4806,77293669
2023-04-19,2.478,2.512,2.469,2.5116,69686693
2023-04-20,2.519,2.5246,2.482,2.4856,92119964
2023-04-21,2.506,2.506,2.459,2.477,86393267
2023-04-24,2.4686,2.5176,2.4654,2.51,62790174
2023-04-25,2.4756,2.478,2.443,2.4596,76549677
2023-04-26,2.4416,2.45,2.393,2.429,108199506
2023-04-27,2.436,2.4726,2.43,2.4606,75576204
2023-04-28,2.4486,2.4556,2.3504,2.383,135129119
2023-05-02,2.381,2.426,2.3184,2.3236,97207327
2023-05-03,2.342,2.392,2.342,2.3666,102216050
2023-05-04,2.3756,2.3756,2.3344,2.3534,97779123
2023-05-05,2.375,2.442,2.3524,2.4306,134028335
2023-05-08,2.4306,2.4666,2.4174,2.4536,78053430
2023-05-09,2.4676,2.479,2.4404,2.4566,77999370
2023-05-10,2.47,2.485,2.4054,2.413,106788788
2023-05-11,2.4226,2.4296,2.3624,2.3906,96621087
2023-05-12,2.409,2.443,2.4084,2.4266,71888539
2023-05-15,2.4426,2.4506,2.3934,2.415,57054207
2023-05-16,2.405,2.429,2.397,2.4094,56632299
2023-05-17,2.3906,2.412,2.3684,2.3956,76097104
2023-05-18,2.4156,2.448,2.3944,2.3986,87609588
2023-05-19,2.426,2.4296,2.378,2.404,104926423
2023-05-22,2.37,2.3996,2.331,2.341,101457796
2023-05-23,2.361,2.3616,2.3254,2.336,50946932
2023-05-24,2.327,2.327,2.2514,2.262,132892401
2023-05-25,2.247,2.27,2.2264,2.2564,85246611
2023-05-26,2.2796,2.281,2.191,2.248,93892088
2023-05-29,2.264,2.2676,2.2054,2.2236,54461460
2023-05-30,2.2176,2.2316,2.201,2.2044,81655889
2023-05-31,2.1924,2.226,2.1328,2.1354,152579655
2023-06-01,2.182,2.237,2.1754,2.2266,102257484
2023-06-02,2.2356,2.2816,2.224,2.277,61447806
2023-06-05,2.2964,2.2966,2.2384,2.2536,66583579
2023-06-06,2.252,2.2906,2.239,2.289,56627383
2023-06-07,2.294,2.295,2.2594,2.294,62903770
2023-06-08,2.3004,2.3496,2.297,2.331,87760730
2023-06-09,2.3156,2.336,2.2934,2.3066,51915520
2023-06-12,2.3156,2.3286,2.2844,2.305,61443642
2023-06-13,2.3156,2.3156,2.283,2.3084,59484162
2023-06-14,2.3146,2.3696,2.307,2.3516,81692659
2023-06-15,2.353,2.3666,2.3354,2.362,62047699
2023-06-16,2.3574,2.381,2.3494,2.3614,81407539
2023-06-19,2.3706,2.412,2.341,2.3906,76569450
2023-06-20,2.394,2.4216,2.3854,2.3906,84028869
2023-06-21,2.38,2.427,2.38,2.412,80192745
2023-06-22,2.3826,2.3916,2.344,2.3716,78918884
